countNN	distanceNN	percentNN	datasetkey
74	0.18	0.6066	00199071-3d3d-41c4-9a77-36fe8d84fa2f
714	0.18	0.8207	00928a0b-bc65-4840-9380-082282882fbd
50	0.09	0.6579	00f1e93e-105d-4126-99e2-f58f1e98e5a0
8761	0.09	0.8817	01d9098d-7dec-4235-b783-c537478cd4c2
64	0.09	0.8649	02a6c056-deea-4085-b5e2-313499583ae0
143	0.09	0.5071	035c61a1-b2a0-4c10-bf96-577997b3b21a
82	0.09	0.5062	0375fd40-83ee-439a-8ad9-62375d769ac9
674	0.18	0.814	0387f456-7b71-44bc-bb41-04478624021c
237	0.09	0.9673	03da4c68-c923-4ff0-9529-77889e0a1ffe
1183	0.03	0.3209	03e65043-bb3d-4234-9a9c-ec13da707d9a
904	0.18	0.7386	040d0116-7d19-45bc-8fe5-3f24b5965748
92	0.09	0.9583	0411f349-bbe6-4e47-969e-f06d2d07779d
202	0.09	0.3544	042e5744-80f1-41ef-8e4f-02ce69d86a42
62	0.09	0.8732	04883d31-9c89-4f63-b9f6-578b775c55cc
825	0.18	0.835	053cc46d-7d65-42e9-9577-4c39c90693d8
151	0.09	0.8297	05680501-cc60-45de-9fa7-bb284db274a9
61	0.09	0.7093	057f5884-34b8-41af-b09d-937be2244ae6
284	0.09	0.9132	05d2d309-cebb-46eb-8863-0df342c006cd
471	0.09	0.6533	05db3ca4-e534-4a91-abcd-f6bfdd2989ad
2780	0.09	0.9851	05f109ca-e39a-44e8-8774-85ba6d0caa8a
78	0.09	1	06ca0401-92c5-43f2-9ef0-236f13bc6a79
31	0.09	0.9118	07609307-26f9-490f-89ea-4e74497e3c0d
1361	0.09	0.7052	0797c245-3f7f-42db-b822-550a36b2a922
1290	0.09	0.688	07adabd1-4687-48ce-aa5f-fb32fbf02108
92	0.05	0.6619	07dd136a-13f2-4814-aa0e-f4cf2b0c73f5
182	0.1	0.5	083a4342-39f7-4fe0-a03c-d14ab3b9c5e2
39	0.09	0.8478	08a91271-2da8-48aa-9382-68c724ea852c
34	0.09	1	094d437c-6453-488c-803d-7fc243d9d730
41	0.18	0.3534	0962ca17-57f0-430d-88bf-af3876dd6cf7
681	0.18	0.8117	0975a2ac-7b5f-4262-a0f4-7d3e318ab6ad
80	0.09	0.9756	09969fa8-116e-4506-ac06-61bb0b32c7c0
126	0.09	0.4286	0a03ca5c-4fd2-4b52-ae12-af4ff8fc6f00
762	0.25	0.8124	0a4f3e3b-1910-445a-afa7-9b93abe69ee1
35	0.09	0.9459	0a7c41ce-596e-408f-ab86-0614aba3f750
91	0.18	0.5482	0a930b5a-91e5-4f53-b84c-6fc2b508c44f
729	0.18	0.8247	0ac4f1b5-472c-40d9-9e10-753ea0dd7c1a
598	0.18	0.8016	0b5b7100-63a8-406d-a6ff-0b1a5f016a61
366	0.09	0.366	0b5f972e-0f84-4d07-9b84-96c09e2925da
454	0.18	0.7061	0b673581-fad1-4ee0-ab40-f8d10c729268
80	0.09	0.8791	0b9aadca-7e08-4f6d-8855-b7b2358aff02
39	0.1	0.7959	0ba1bf20-e8a7-4226-99b8-bf6a812dbfb9
497	0.09	0.8796	0ba9e717-078e-4611-83db-f3b91ef03339
47	0.09	0.7966	0c760ed9-6b18-45e2-9945-d6c43e72e244
39	0.09	0.975	0c8a1eba-904f-4ed9-aef2-44b3acb00351
74	0.09	0.7048	0c956a2f-9849-4a12-adcf-afc5dd17eae8
81	0.18	0.5704	0ce63308-8e68-43e1-b081-fabcf78e65fa
414	0.09	0.9452	0d6fa0fb-a1ab-422a-bdad-dd880651f40e
1287	0.04	0.9795	0d7c6a1a-0aab-47dc-8256-f23fefac69cd
388	0.09	0.9923	0d8cc344-d880-42ec-a200-40b4ad71affd
95	0.16	0.3156	0e8b0e10-1680-4d71-ae93-f61bd7933b1d
75	0.09	0.9375	0ee9e63e-8eda-4bb1-aab1-9a29232cf437
60	0.18	0.458	0f135867-0c9d-4275-ba95-2e6babe87584
242	0.18	0.7055	0f2f6bc5-b352-47c6-8e96-9e0eda5ba3e3
770	0.18	0.8244	0f61447b-f8dc-40cb-bc20-2e57c6a98f26
209	0.09	0.8427	0f925245-6ac9-4efb-b40f-0f89bf45e039
140	0.18	0.5691	0fc0161f-bb2c-4071-9cab-7b08c207b6f5
608	0.18	0.7906	100247eb-0bae-4e3a-a874-f62aecac15f9
41	0.09	0.6212	1059a468-d596-4a6a-bbf6-486aa56c1f53
36	0.09	1	10b1f2ee-2a7a-4603-8ef8-209541ca539c
57	0.09	0.3519	111a8e87-929e-4212-a1d7-8825e0f49e61
1785	0.09	0.9818	1199003d-8b75-410d-a843-7ff64b21e330
847	0.18	0.8403	1225f6fb-5b9e-4fcf-8a48-5bb02de4f145
57	0.09	1	124129be-8d5e-4694-b1ae-32e84976f6d2
137	0.18	0.5569	128bc4ad-fc5c-44c2-8005-a1768f587704
49	0.5	0.3551	12ccff8a-cfa8-46f8-a8b0-c6da39cb8910
246	0.09	0.8881	13cc33ab-c1b2-491f-b4e1-6d07b59be814
44	0.09	0.6027	13d53708-111d-40b3-ac66-b582f099685b
174	0.09	0.9405	147834a9-fbff-4357-b8b8-e755c62df2ce
573	0.18	0.7743	14792177-528a-4ef0-83ec-933f4428c6d0
774	0.18	0.835	1507bd69-1257-4a68-921e-4287e3ea7761
554	0.09	0.9552	157e7669-3074-4446-bc67-8829d483d25b
221	0.09	0.9057	165289f9-f323-47aa-ac69-f50a27c51406
41	0.09	0.9111	16734bd8-00cb-48ea-81fd-bdc2b0dcee38
56	0.09	0.448	16f8fcde-0026-4b65-9a1f-d0f5bfe34859
212	0.09	0.5354	170c15ec-9705-46ce-9b9c-3b551f66ece9
1159	0.09	0.6646	17167110-dddf-4c70-adde-2ecc46829521
767	0.18	0.8319	17171ffe-aa86-4b64-bd66-436ce65d301f
67	0.18	0.5537	1720793b-0607-4f65-84e6-4781bd7870e3
109	0.18	0.5166	17709cb2-01b4-434f-ae31-6641c67bf223
583	0.18	0.7773	17cd138e-92e6-4df7-ab1e-50c63a26ec6e
1691	0.09	0.4222	181eab51-9399-4baa-a0df-8de01a3acf19
54	0.09	0.8308	1876c0d1-bc99-42e6-bf9e-f9e4831023e0
5806	0.25	0.8928	1881d048-04f9-4bc2-b7c8-931d1659a354
110	0.05	0.303	18ce0004-0301-4b4b-86f2-9144000226c3
724	0.18	0.8293	19217bc6-84f2-49a9-9e46-ab50777c33ae
838	0.18	0.8422	1989e1ee-4a2b-4d18-9dee-e2b765cfdd32
849	0.18	0.8439	19d567d9-8d61-409a-9979-969929d4fc77
845	0.18	0.8366	1a064c30-14e5-4d64-a01f-45bd376ffea1
1049	0.09	0.6222	1a5dcdf5-099e-4997-a2c4-f4d758dcaf86
207	0.09	0.6743	1a773212-92f8-4a60-b8f6-6b47e3c73245
867	0.18	0.7153	1ab3d288-fcbf-4b71-8630-a37c8debdbad
48	0.09	0.6857	1acd2f97-63ae-4d86-bdc6-a0e9105e5e3a
575	0.18	0.8076	1ad1c7e8-8136-40a9-b21e-9b8291da7382
963	0.09	0.6596	1b4071af-2811-44a9-95ea-9067c74f2430
48	0.18	0.3556	1b4d985a-dce1-40da-bdf4-07166e5f811c
95	0.09	0.3045	1b672ec8-4d5c-4cef-94f9-05c3e02b3be8
492	0.09	0.7961	1b8ab2fc-1b1c-4132-8142-d416ebf76d7c
108	0.09	0.3711	1bead174-082f-4065-be44-bb5de7b53868
845	0.18	0.8366	1bf8b4ee-04bd-481a-a3df-67fc40291e97
356	0.09	0.5597	1c124078-9b39-4042-84af-b2f948dad993
624	0.18	0.7869	1c3a0329-df77-43e6-89b7-fc57a5bd7729
919	0.08	0.9172	1cd0cb6d-d8ab-4e4c-9672-70d22fec96b3
850	0.18	0.8399	1d257f2a-a22a-4c6f-80cd-22f152ad8d46
542	0.18	0.7559	1d2d0c5c-20d2-408c-8627-eedf3cda520e
254	0.09	0.9961	1d9d4582-b0aa-4e91-96cb-f80a0de21680
34	0.09	0.6182	1e7f2660-7d54-41a2-993c-e5ee7030af8c
603	0.18	0.804	1f0919a0-8240-4432-8643-4a8d0f7b1309
36	0.09	0.5714	1f839433-15c1-4c8e-be27-edb7b74340b9
633	0.04	0.9937	1f968e89-ca96-4065-91a5-4858e736b5aa
5456	0.09	0.9929	1fec2829-4ac0-4329-b448-6f768b8d3427
677	0.18	0.8079	203c7594-1960-4294-abf9-ef5d024ea9dd
58	0.09	0.6304	20cc2c2b-7eef-41d0-a5ad-2330e60acf6b
637	0.1	0.9907	21641d2f-655a-415d-9de9-a74da6062473
583	0.18	0.8108	21d60f87-ef97-4ddb-99ed-742d78c06efa
318	0.09	1	22a8e7a7-255a-4f63-83bb-f5f888ed3cd8
109	0.09	0.5924	230b1809-cd8c-44ad-9873-3b0caa7f740a
40	0.09	0.8333	233ba471-91a2-47a4-9946-b7e844f2124c
5264	0.09	0.9483	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6
94	0.1	0.4896	23cdb7f0-a1e4-4821-9986-10e92c5378e4
67	0.09	0.8375	24769f9b-7b12-4a54-ae9b-0d3d07813202
31	0.09	0.4921	24e31afb-7fc7-45d0-a899-3821bfa26730
62	0.09	0.4733	2517480a-8dc6-46f0-9f22-241c77e1e871
75	0.09	1	252291cb-dcd5-4b5d-b3c7-7c828ec46f58
56	0.09	0.8889	266a6795-fd23-4e59-a58b-989df0b5c9d2
1623	0.09	0.9795	26b38a0b-adb7-4b2b-a55b-ad632b5a7777
282	0.09	0.8174	26b81418-1a24-417a-9ec1-9e1f5a160cf7
31	0.09	0.9394	26e9823f-0545-4b67-9e6d-30b16d657835
804	0.18	0.8306	2789b16e-f00b-4f0f-9200-5eaa05acbf15
852	0.18	0.8478	27b264ff-3095-44ab-8c29-9b9ccbe8ee74
560	0.04	0.9825	27e9e069-2862-4183-bcec-1e1a7f74d3e7
58	0.09	0.4234	27efa2e7-c7d1-4cc8-9360-b9600cba732f
580	0.18	0.7923	28126fd6-7201-4d21-89ec-0ee059e36781
1565	0.25	0.9981	282d0ccb-4fa0-40f9-8593-105c77e88417
32	0.09	0.7619	284fb9f7-eaf1-46ea-b9e2-f490efafa63b
41	0.09	0.9762	289f4bfc-4460-43c4-bd43-5248e32f53be
887	0.18	0.7253	28c7cc8e-3163-4c3d-ab4e-31ebd28b068d
57	0.18	0.3455	297813ec-9981-453d-8531-8ddde98b027b
154	0.18	0.5946	29782f30-7271-4383-8a08-e88ed9c87087
121	0.09	0.7961	2989d8ba-26f6-405c-8a7c-60d7b4eb0a1d
334	0.09	0.9882	29cd9f29-7c76-4e6b-a8b8-78d91eaf49bf
853	0.18	0.8338	2a1eb0a6-04c7-438c-b50c-8edcc81eb68f
31	1	0.7381	2aa53e94-8c53-4afc-b246-d58d5bc6b0fd
82	0.09	0.3581	2aabb824-abeb-447d-9715-1a5a9cf71ea3
236	0.18	0.6431	2b977fd8-deb9-4a46-8432-c5770224980e
45	0.09	0.6818	2c09f6f8-8026-4564-9ffd-ba394f537bb7
1062	0.09	0.7066	2c13b330-d6c5-4d4f-a726-129ca8c855cf
683	0.09	0.8209	2c27c186-4ce8-483c-8b4d-c3d98beaabd9
5303	0.09	0.9934	2c4fc27a-8868-4e95-b02d-86302e4ece38
32	0.09	0.6038	2ce8d7c2-3852-4f58-a25e-1fc9e35fe293
334	0.09	0.9356	2ceb7556-fbaf-4a3e-97b2-34696a48a0c3
726	0.18	0.8316	2d151fcc-32ad-4d83-aaaa-1f463c700161
157	0.09	0.3391	2d4aa27f-bacc-4dc2-a692-d25f5d812111
295	0.18	0.6991	2dda5e94-bf56-4321-9787-7438c479a504
80	0.09	0.64	2ee1a588-0be5-4458-8bc5-487b9bd99fe7
41	0.09	0.9762	2f79cc6e-6b14-4162-a4b5-e7415f0716ea
162	0.09	0.7678	2fd8c8c0-6c13-4653-afe9-151a23665667
899	0.25	0.7838	2fea4042-5aba-4cda-bab9-adcfa2bbe97d
726	0.18	0.8103	30ba0b42-991d-47d8-b553-940082bee207
190	0.04	0.5605	30eca5bd-6a4f-46de-9e6f-d6ede90850dc
774	0.18	0.8368	3105f9e9-4bdb-4726-83c0-9ad685306329
47	0.09	0.4434	3140bc4a-5979-4b29-83ec-8a8e5529fe50
218	0.09	0.4609	3158875a-b199-4607-9e7d-bdebc0f2f87d
853	0.18	0.8421	315ad955-fe8a-4c78-88b6-6b0ff033a50d
261	0.04	0.4003	3186cd3f-a7d0-4e64-bb60-630e20a47fa6
889	0.18	0.7323	32219fa0-4b5f-4f3f-b119-5923d6995b3a
595	0.18	0.7902	32682088-8a29-487e-89dd-96a250e94393
72	0.09	0.9231	3289de2c-d2e5-434e-8ad3-6c9a8ff5d8e2
219	0.1	0.8975	3294d36a-987c-4dcb-8ecf-bd2082796f08
366	0.09	0.5487	329d2323-9fe5-47b2-ac4b-6d1c984cd4ac
56	0.18	0.4828	32ba223a-0c17-46f0-b1e5-244eeefa8839
34	0.09	0.8095	32d14bd1-05d2-4814-add6-965870279bad
54	0.1	0.871	32fc6edb-1636-4ca6-894c-40670484f792
563	0.18	0.7712	32ff6715-d810-411f-90d7-025804c64e10
212	0.09	0.5084	33244db4-63eb-446f-bd83-16e4119ad6e3
63	0.04	0.4315	3331bcd4-f85e-4252-8e92-3aaa6fdc3eca
199	0.09	0.8578	3357e981-465f-40c5-8154-ec2672d963c0
48	0.09	0.9412	34ca4f5c-f7bd-46d0-95a0-fe954a5074b3
82	0.09	0.9425	350d3482-f9fe-45ba-8fd7-2a008385f633
710	0.18	0.8096	353cabdf-17f8-4e47-9656-47f333d7704c
149	0.18	0.5753	35bf60cf-8c2f-4b87-8103-1cdb866226af
148	0.18	0.5585	3661bc4b-9f68-4729-b691-24dfa027a7a4
46	0.09	0.9388	369792d2-c509-4971-b6c5-0dffca53037e
45	0.09	0.7377	36afb3b5-e683-44f5-b640-7f8f3f32d854
90	0.09	0.72	36c73b4b-9b3d-4ba7-8bb9-7177b224aace
98	0.18	0.5665	36cbcb77-ac64-46b8-a560-15f8386ba30b
345	0.09	0.8734	36eb7766-a926-4903-b195-9e342fe588d5
114	0.09	0.9744	374645a1-0980-46bd-b7ef-a23b767c0f72
666	0.18	0.8083	37b814a3-8ff3-44a5-aee6-a5b3c917e6d0
608	0.04	0.9951	37e094f3-dcf2-469f-93a2-c4b9b5fa7275
45	0.09	0.8824	38b496a8-65cf-4278-b4f1-3be314bba3af
67	0.09	0.8816	39676c5a-7f9a-4fa7-971f-7cef77cdc723
79	0.09	0.8681	3968e868-da6f-4120-a0e0-47a5bb6cb5dc
841	0.18	0.8318	39c979e6-7f99-457b-a467-946c4643d55e
32	0.09	0.8	3a04668f-4201-47f0-8ec2-69c6dbd0d238
67	0.33	1	3a8512a0-33cf-11de-afc6-b8a03c50a862
759	0.18	0.8214	3b1325b0-7fbc-4997-bb59-e21f09717730
31	0.09	0.369	3b1446e8-5f26-49aa-9d69-29da12940dda
316	0.09	0.6502	3b45e79d-df3f-4f3f-a0c9-a3a3f0ca2d46
32	0.09	0.7805	3b5f32ff-46d0-4c9b-a247-100afd96f331
79	0.09	0.9405	3b6501fe-b73c-4f74-bd36-106ef7d790d0
52	0.09	0.9455	3b91df32-521d-4351-a45a-d4a45debbc81
621	0.18	0.7941	3bde2e3a-5c24-419f-9ead-86081c9788b2
164	0.09	0.4925	3bee65e6-5de2-4e7f-9384-5f94574f59c6
113	0.09	1	3cc251d9-5e0d-488b-bbf4-b2ecc6dab986
735	0.18	0.8158	3cca017b-f649-41b6-8984-9c90f931a281
331	0.09	0.7118	3cd814ac-f90e-4e5b-a5e0-35446cfa61f1
2620	0.09	0.7674	3d2619bf-9cb3-4c0e-8f2c-84e8a0586aac
256	0.09	0.9588	3dc2a7f6-8d3a-4228-a69c-ec795028fe2f
47	0.09	0.6528	3dfdc6aa-a518-40d7-9056-96adc031f793
149	0.09	0.4599	3e6ba6e2-88f4-48b5-b346-e8aed305f41d
1848	0.09	0.7589	3eaec825-e7a4-49b2-b6e5-f406595f8555
57	0.09	0.76	3ee7b61a-85f1-44c3-9301-fbb7df89550d
744	0.18	0.8158	3f428d43-aa63-4973-a747-e458d25575c4
388	0.09	0.3857	3f907a27-73e4-429b-9d36-7476f3b75c58
88	0.09	0.9778	3fc4714c-bbd1-4336-9b49-77bdb76910e3
87	0.09	0.5724	40094017-77a9-415d-8e8d-86dea723f617
44	0.09	0.9565	40510712-89bf-4cac-b794-22f9d29a4f0e
405	0.18	0.7206	406388bc-c55c-4566-a5b8-ffbfd3916d28
61	1	0.9531	40d2de00-0c6e-11dd-84d2-b8a03c50a862
133	0.09	0.7348	40ee275b-0b35-45b0-9764-6e606226d075
37	0.09	1	4122d469-dcf1-4dc3-a71e-d744c03faa4f
1440	0.09	0.8058	4145cd45-8a92-426d-be8b-bfbbf5209032
37	0.09	0.7872	41d66e74-20bb-4837-aa73-08a03aef9a70
3346	0.09	0.9048	41e8840e-57eb-40d4-a1ac-cfda408bc871
39	0.09	0.975	420fbdce-1d9c-470a-84da-24664f33e670
228	0.09	0.9231	426a7529-7b53-4dab-b1b9-c6038c8d74ad
2931	0.09	0.8994	43027054-3812-4599-b7bc-a01f1df5b071
507	0.18	0.7369	432a8936-9048-40f3-adf2-dd8b70456d57
344	0.09	0.4444	43408d27-f127-490c-a15f-477acd24714e
280	0.09	0.9459	43eb9aad-9db1-4691-b1e2-ec57bfbbea22
113	0.09	0.9912	442d5fde-1001-41bc-bc4d-3559266cd01a
711	0.09	0.8608	44c73c0b-662e-41e7-8eee-4754a8592a27
37	0.09	0.9737	44f91be3-bac6-4280-bb01-6888b0f94181
50	0.09	0.3968	44fcb36c-4999-4d81-906d-12435b59229e
76	0.09	0.7238	45043b88-1ebd-4d62-9fd9-61c808edc832
67	0.09	0.9178	461b4ba8-fd48-4ae1-ab85-107960b7a008
157	0.09	0.8533	462efe4a-103b-4a4a-b229-c18bec5c9431
66	0.09	0.9429	468580a0-57dc-4581-bb78-03407ce5ab55
668	0.18	0.8039	46c6c590-2115-4ddb-a20c-c6ad4295eb8d
34	0.09	0.3778	47346b5b-2d32-4e0e-afab-ec9a6544021f
78	0.18	0.5379	475e54bc-0168-4309-890a-1330f9ca1fc5
39	0.09	0.975	4769b578-3ec1-4f45-9090-ea9b2422e3db
211	1	0.8866	478e52db-0450-47f0-a763-ad3bcdaba6d9
87	0.09	0.5878	47c11f62-1b68-404a-8bba-2e85d3404906
356	0.18	0.7463	47f5955a-0543-4fd6-bf29-b359bed9ab54
31	0.09	0.7949	4809099f-17c1-4f0e-9831-f9a793a59b7c
702	0.08	0.9335	488416a3-50f1-43a0-a1ce-daf1cdbf84dd
88	0.09	0.5432	48939578-9f0f-4a2c-b9d5-e78252fd22ed
840	0.18	0.8375	48b7e704-9098-41ed-9f71-33a1b5267cc4
112	0.09	0.7887	492b7f54-a7b7-4231-b88e-049f1821c172
42	0.09	0.4242	4a0eadd4-ce7e-40e9-9b51-231ea9a22e56
74	0.18	0.5362	4a1bd1bd-52a0-45db-8830-958ac4df35a5
810	0.09	0.903	4d39e987-1e6a-4e78-ad5f-39a8c8846ebf
43	0.09	0.7818	4d9e1a03-26a9-44da-b207-92cba0881881
39	0.09	0.7647	4da1a6d5-48c0-42f8-af2c-01d0f5af8826
109	0.18	0.5046	4dce1bb0-9425-4e21-b6ec-27d62c63a025
140	0.09	0.473	4e0ae4ef-4f11-4cfe-9f3a-3c8a2465d205
218	0.09	0.5767	4e19e2b8-9934-4b5a-a51f-62df5a9802e7
797	0.18	0.8381	4e5b7609-ecdb-4963-9172-9065f63424f7
366	0.09	0.9657	4ebe5835-851f-43fd-beed-afade357bfc7
64	0.09	0.8205	4ef9544b-2b9c-49ae-9c82-195d2866ca01
103	0.09	0.4661	4f0a9cb0-0079-4b22-b1fe-359b7e71a36a
360	0.09	0.9474	4f19d152-735f-4286-9c6d-650404dbd18c
373	0.18	0.6907	4f1dc07c-b86a-4626-ab8a-dd9264dde7ae
599	0.18	0.7861	4f211020-9e97-4eed-b575-ce554fb109ad
855	0.18	0.8333	4f7dd3b2-5d9c-4189-8c5a-977b8726e052
852	0.18	0.8427	4f83f880-4fe1-48ce-84a5-32c30948e111
587	0.09	0.9143	4fbb2379-db6d-46bd-8f0b-4972cb76b188
1518	0.09	0.9063	50de8011-5291-4689-ae08-f35d2d2c17e2
587	0.18	0.8019	517d5eb7-0559-42e5-8b2f-7b4926decd2d
100	0.09	0.9615	518ace5e-0034-4201-8ff3-a482c16f174e
62	0.09	0.8267	51bf6f1f-3e6d-4d8f-bf75-9c05ce29b3f7
234	0.18	0.5612	51cf7c4a-9cfc-4338-9a03-8d49570ddbed
86	0.09	0.3644	528ad5f2-b6d4-4ea6-89a1-ddfafee4ec45
38	0.09	0.95	52e809ec-8487-4e88-8c8d-1c7c14cf11c2
112	0.18	0.4978	53287502-980d-41a8-b9f0-0f3a5bcb6555
520	0.18	0.7591	538c6ee9-eb5e-4420-abca-7f1ec1ed443a
757	0.18	0.8219	54ec89c0-ad08-4a9a-a907-1539e7e7e44b
3348	0.09	0.8907	54facf62-bf0c-43e7-9972-4fdc407fa6c5
634	0.18	0.8035	55a13551-f65c-4f5d-ad36-e0d6cc2cd059
865	0.18	0.7515	55bbcb99-8c43-4d68-add5-abc49d41b16f
39	0.09	0.907	5629f624-487c-4317-bf46-86030aec1468
59	0.09	0.4275	569c824c-ea6d-4314-a77d-0ff238bebd87
79	0.09	0.9875	5712a322-45df-4038-9421-043b802ee333
178	0.04	0.3266	5819973a-017f-475a-9e82-17cee91ccbf7
44	0.09	0.8462	5905769a-49d8-4d49-8fb5-375a4a270ba7
608	0.18	0.8053	592229f9-c3c2-4f2e-96d6-f45a628ee321
44	0.18	0.3188	595a92d2-6ab3-4168-a794-c9465ec4eee5
380	0.09	0.8501	59ffe691-64ad-4472-a46f-6b31ae34d412
237	0.09	0.772	5a058b59-dc30-4b4b-9677-0cea5cdd2704
84	0.09	0.8485	5a1b62b2-4a1f-4404-b481-87836564d4a5
571	0.18	0.7876	5a5e0a14-bb90-4e62-be79-9f5ed7e0b28c
845	0.09	0.9941	5aa17427-58c4-4221-bb6c-20ab297d6a02
84	0.09	0.9438	5b102996-823d-45a8-9fc4-451172e33856
53	0.09	0.6883	5c1f5ba2-91de-40d6-a761-760bf3abd53d
600	0.18	0.7905	5c85ff42-2109-4b81-87da-6d41ab68e369
221	0.09	0.884	5cb593bb-ba38-4f48-b67e-e3907df24b16
